void sub_805DF0(HANDLE ProcessHandle, PVOID *BaseAddress, PSIZE_T RegionSize, ULONG NewProtect, PULONG OldProtect)
{
  unsigned __int64 **v6; // r15
  unsigned __int64 v7; // kr00_8
  unsigned __int64 v8; // kr08_8
  unsigned __int64 v9; // kr10_8
  int v10; // r13d
  int v11; // edx
  int v12; // ecx
  bool v13; // r14
  __int64 v14; // rdi
  PULONG v15; // r13
  unsigned __int64 v16; // r14
  unsigned __int64 v17; // r10
  __m128i v18; // xmm2
  unsigned __int64 v19; // xmm2_8
  __int64 v20; // r10
  char v21; // dl
  char v22; // cl
  char v23; // r8
  unsigned __int64 *v24; // r11
  __int64 v25; // r12
  unsigned __int64 v26; // r9
  __int16 v27; // si
  __int64 v28; // r10
  unsigned __int64 v29; // r9
  unsigned __int64 v30; // r11
  __int16 v31; // r12
  unsigned __int64 v32; // kr18_8
  __int64 v33; // rdi
  unsigned __int64 *v34; // r15
  _BYTE *v35; // rdi
  __int64 v36; // rsi
  __int64 v37; // r13
  unsigned __int64 v38; // r10
  __int64 v39; // rdx
  __int64 v40; // rcx
  int v41; // r10d
  unsigned int v42; // r8d
  unsigned __int64 v43; // kr20_8
  __int64 v44; // r14
  ULONG v45; // edx
  char *v46; // r12
  __int64 v47; // r9
  char *v48; // rdx
  unsigned __int64 v49; // r12
  __int64 v50; // rbx
  __m128i v51; // xmm5
  unsigned __int64 v52; // xmm5_8
  unsigned __int64 v53; // kr28_8
  unsigned __int64 v54; // r9
  __int64 v55; // r10
  unsigned __int64 v56; // r11
  unsigned __int64 v57; // r9
  unsigned __int64 v58; // r11
  unsigned __int64 *v59; // rbx
  _BYTE *v60; // r14
  __int64 v61; // rsi
  unsigned __int64 **v62; // r14
  unsigned __int64 v63; // r9
  __int64 v64; // r10
  unsigned __int64 v65; // r9
  unsigned __int64 v66; // r11
  unsigned __int64 *v67; // r14
  _BYTE *v68; // rdi
  __int64 v69; // rcx
  unsigned __int64 v70; // r11
  unsigned __int64 v71; // r8
  char v72; // r10
  int v73; // r13d
  unsigned __int64 v74; // r15
  int v75; // ecx
  unsigned __int64 v76; // r10
  __int64 v77; // r8
  int v78; // r12d
  int v79; // edi
  signed __int64 v80; // r8
  unsigned __int64 v81; // rsi
  unsigned __int64 v82; // r13
  unsigned __int64 v83; // rbx
  unsigned __int64 v84; // r9
  int v85; // eax
  unsigned __int64 v86; // r15
  unsigned __int64 v87; // r14
  unsigned __int64 v88; // rdx
  unsigned __int64 v89; // rcx
  unsigned int v90; // r9d
  __m128i v91; // xmm1
  unsigned __int64 v92; // r15
  unsigned __int64 v93; // r11
  unsigned __int64 v94; // rsi
  __m128i v95; // xmm1
  unsigned __int64 v96; // rsi
  unsigned __int64 v97; // rax
  unsigned __int64 v98; // rsi
  __int64 v99; // r12
  int v100; // ebx
  __int64 v101; // rax
  unsigned __int64 v102; // r10
  __int64 v103; // r14
  unsigned int v104; // edx
  __int64 v105; // r8
  _QWORD **v106; // r8
  __int64 v107; // rdx
  ULONG v108; // ecx
  unsigned __int64 *v109; // r11
  unsigned int v110; // ebx
  unsigned __int64 v111; // r14
  int v112; // r13d
  __int64 v113; // r15
  unsigned __int64 v114; // r10
  unsigned int v115; // edx
  unsigned __int64 v116; // r11
  unsigned __int64 v117; // r9
  unsigned int v118; // r8d
  __int64 v119; // r14
  __int64 v120; // rbx
  __int64 v121; // r11
  __int64 v122; // r10
  __int64 v123; // r8
  int v124; // ecx
  __m128i v125; // xmm1
  __m128i v126; // xmm2
  unsigned __int64 v127; // rdx
  __int64 v128; // r9
  __int64 v129; // r10
  unsigned __int64 v130; // r9
  __m128i v131; // xmm1
  unsigned __int64 v132; // r11
  unsigned __int64 v133; // rax
  __int64 v134; // r10
  bool v135; // cl
  bool v136; // zf
  _QWORD *v137; // rcx
  unsigned __int64 v138; // kr30_8
  __int64 v139; // rcx
  unsigned __int64 v140; // r8
  unsigned __int64 v141; // rdx
  int v142; // ecx
  int v143; // ecx
  char *v144; // r13
  unsigned __int64 v145; // rax
  unsigned __int64 v146; // rcx
  unsigned int v147; // r11d
  int v148; // edx
  unsigned int v149; // edi
  __int64 v150; // rdx
  __m128i si128; // xmm1
  unsigned __int64 v152; // r13
  __int16 v153; // di
  unsigned __int64 v154; // r12
  unsigned __int64 v155; // rdi
  unsigned __int64 v156; // r13
  unsigned __int64 v157; // r10
  __int64 v158; // r11
  __int64 v159; // rdi
  unsigned __int64 v160; // rax
  unsigned __int64 v161; // r13
  __m128i v162; // xmm5
  __m128i v163; // xmm0
  __m128i v164; // xmm2
  __int64 v165; // rbx
  unsigned __int64 v166; // r15
  unsigned __int64 v167; // rdx
  unsigned __int64 v168; // rax
  unsigned __int64 v169; // r15
  int v170; // eax
  unsigned __int64 v171; // r10
  unsigned __int64 v172; // r11
  int v173; // r8d
  int v174; // edi
  __int64 v175; // r14
  __int64 v176; // rdx
  __int64 v177; // r12
  __int64 v178; // rdx
  unsigned __int64 v179; // rdx
  __int64 v180; // r14
  __int64 v181; // rdx
  int v182; // esi
  unsigned int v183; // ecx
  __int16 v184; // r12
  unsigned __int64 v185; // r9
  __int64 v186; // r10
  unsigned __int64 v187; // rdx
  unsigned __int64 v188; // r9
  unsigned __int64 *v189; // r14
  char *v190; // rdi
  __int64 v191; // rbx
  unsigned __int64 v192; // rax
  __int64 v193; // r11
  unsigned int v194; // ecx
  unsigned __int64 v195; // r11
  unsigned int v196; // ecx
  unsigned int v197; // r8d
  unsigned int v198; // r10d
  unsigned __int64 v199; // r11
  __int64 v200; // r10
  unsigned int v201; // ecx
  unsigned __int64 v202; // rdx
  __int64 v203; // rbx
  unsigned __int64 v204; // rdi
  unsigned __int64 v205; // r11
  unsigned __int64 v206; // r8
  __int64 v207; // rdx
  __int64 v208; // rax
  __m128i v209; // xmm1
  __m128i v210; // xmm2
  __int16 i; // r12
  __int64 v212; // r8
  unsigned __int64 v213; // rdi
